date,net_droppedTx_summation,net_packetsTx_summation,virtualDisk_numberReadAveraged_average,virtualDisk_numberWriteAveraged_average,virtualDisk_write_average,virtualDisk_read_average,datastore_maxTotalLatency_latest,cpu_usage_average,mem_usage_average,net_usage_average,net_packetsRx_summation,net_droppedRx_summation,net_bytesRx_average,net_bytesTx_average
2018-09-16,0.0,190591.0,0.0,0.0,0.0,0.0,0.0,435499.0,668020.0,11295.0,465283.0,0.0,1849.0,1300.0
2018-09-17,0.0,347514.0,0.0,0.0,0.0,0.0,0.0,434658.0,762721.0,30998.0,639976.0,0.0,5050.0,6068.0
2018-09-18,0.0,471290.0,0.0,0.0,0.0,0.0,0.0,486834.0,775519.0,118583.0,2253167.0,1.0,51820.0,4293.0
2018-09-19,0.0,260419.0,0.0,0.0,0.0,0.0,0.0,442624.0,685420.0,20408.0,519751.0,0.0,2377.0,4449.0
2018-09-20,0.0,411545.0,0.0,0.0,0.0,0.0,0.0,459900.0,785920.0,100299.0,1933085.0,14.0,43092.0,4124.0
2018-09-21,0.0,257375.0,0.0,0.0,0.0,0.0,0.0,485405.0,932320.0,21268.0,541868.0,0.0,3005.0,4322.0
2018-09-22,0.0,138050.0,0.0,0.0,0.0,0.0,0.0,468182.0,763620.0,7823.0,440958.0,0.0,917.0,1388.0
2018-09-23,0.0,166967.0,0.0,0.0,0.0,0.0,0.0,494060.0,798223.0,11352.0,464384.0,0.0,1573.0,2202.0
2018-09-24,0.0,176046.0,0.0,0.0,0.0,0.0,0.0,433175.0,672420.0,9726.0,460956.0,0.0,1369.0,1304.0
2018-09-25,0.0,322540.0,0.0,0.0,0.0,0.0,0.0,490647.0,802622.0,26774.0,657820.0,0.0,5256.0,4256.0
2018-09-26,0.0,155659.0,0.0,0.0,0.0,0.0,0.0,449562.0,748922.0,11180.0,488539.0,0.0,2063.0,2020.0
2018-09-27,0.0,288364.0,0.0,0.0,0.0,0.0,0.0,421319.0,749491.0,32203.0,718239.0,0.0,7887.0,3371.0
2018-09-28,0.0,217142.0,0.0,0.0,0.0,0.0,0.0,483122.0,870420.0,19225.0,564633.0,-1.0,4155.0,2658.0
2018-09-29,0.0,162829.0,0.0,0.0,0.0,0.0,0.0,825709.0,1379122.0,12074.0,424588.0,0.0,1847.0,2420.0
2018-09-30,0.0,190636.0,0.0,0.0,0.0,0.0,0.0,1100984.0,1843721.0,37368.0,907489.0,0.0,15486.0,1941.0
2018-10-01,0.0,65268.0,0.0,0.0,0.0,0.0,0.0,1309865.0,2245420.0,2888.0,383353.0,-1.0,774.0,318.0
2018-10-02,0.0,62381.0,0.0,0.0,0.0,0.0,0.0,1509222.0,2610320.0,1741.0,327921.0,0.0,194.0,387.0
2018-10-03,0.0,131767.0,0.0,0.0,0.0,0.0,0.0,1625883.0,3084625.0,8871.0,399638.0,0.0,1284.0,1841.0
2018-10-04,0.0,65548.0,0.0,0.0,0.0,0.0,0.0,1738264.0,3397221.0,4127.0,369682.0,0.0,1479.0,343.0
2018-10-05,0.0,76326.0,0.0,0.0,0.0,0.0,0.0,1862106.0,3676022.0,3015.0,334723.0,0.0,324.0,706.0
2018-10-06,0.0,65342.0,0.0,0.0,0.0,0.0,0.0,1946933.0,4068220.0,1996.0,363935.0,0.0,223.0,464.0
2018-10-07,0.0,64958.0,0.0,0.0,0.0,0.0,0.0,2022265.0,4344221.0,1903.0,369888.0,0.0,245.0,398.0
2018-10-08,0.0,228618.0,0.0,0.0,0.0,0.0,0.0,2135680.0,4773332.0,36361.0,888611.0,0.0,13673.0,2709.0
2018-10-09,0.0,151165.0,0.0,0.0,0.0,0.0,0.0,2223435.0,4987140.0,10725.0,479470.0,0.0,1696.0,2188.0
2018-10-10,0.0,207182.0,0.0,0.0,0.0,0.0,0.0,2256129.0,5333240.0,20069.0,575458.0,0.0,4317.0,3471.0
2018-10-11,0.0,233511.0,0.0,0.0,0.0,0.0,0.0,2307212.0,5541004.0,22364.0,572535.0,0.0,5078.0,3441.0
2018-10-12,0.0,1165259.0,0.0,0.0,0.0,0.0,0.0,2297130.0,5586027.0,103964.0,1039958.0,0.0,7437.0,27824.0
2018-10-13,0.0,109092.0,0.0,0.0,0.0,0.0,0.0,2365081.0,5906708.0,7045.0,398562.0,0.0,1559.0,884.0
2018-10-14,0.0,108272.0,0.0,0.0,0.0,0.0,0.0,2441008.0,6252584.0,5551.0,371760.0,-1.0,624.0,952.0
2018-10-15,0.0,147476.0,0.0,0.0,0.0,0.0,0.0,2494220.0,6503275.0,11810.0,553948.0,0.0,2759.0,1383.0
2018-10-16,0.0,173954.0,0.0,0.0,0.0,0.0,0.0,2570105.0,6803235.0,11431.0,451192.0,0.0,1598.0,2106.0
2018-10-17,0.0,160732.0,0.0,0.0,0.0,0.0,0.0,2578782.0,7047684.0,16218.0,582249.0,0.0,5184.0,1432.0
2018-10-18,0.0,100573.0,0.0,0.0,0.0,0.0,0.0,2619469.0,7244752.0,4620.0,368609.0,0.0,561.0,995.0
2018-10-19,0.0,140154.0,0.0,0.0,0.0,0.0,0.0,2658774.0,7517655.0,9985.0,406502.0,0.0,1420.0,2204.0
2018-10-20,0.0,59002.0,0.0,0.0,0.0,0.0,0.0,2679161.0,7717377.0,1263.0,323861.0,0.0,129.0,288.0
2018-10-21,0.0,25404.0,0.0,0.0,0.0,0.0,0.0,1342713.0,3885785.0,382.0,163136.0,0.0,51.0,81.0
2018-10-22,0.0,145885.0,0.0,0.0,0.0,0.0,0.0,2593208.0,7719769.0,18377.0,545414.0,0.0,5826.0,2107.0
2018-10-23,0.0,115553.0,0.0,0.0,0.0,0.0,0.0,2691903.0,8261742.0,6872.0,418792.0,0.0,1203.0,1227.0
2018-10-24,0.0,96505.0,0.0,0.0,0.0,0.0,0.0,2691601.0,8555502.0,4536.0,377991.0,0.0,662.0,914.0
2018-10-25,0.0,106214.0,0.0,0.0,0.0,0.0,0.0,2752160.0,8690194.0,6319.0,395133.0,-1.0,1064.0,1227.0
2018-10-26,0.0,129495.0,0.0,0.0,0.0,0.0,0.0,2767642.0,8808649.0,9155.0,401834.0,0.0,1386.0,1983.0
2018-10-27,-58.0,38520.0,0.0,0.0,0.0,0.0,0.0,964077.0,3082067.0,1644.0,122621.0,-58.0,148.0,428.0
2018-10-28,0.0,55778.0,0.0,0.0,0.0,0.0,0.0,624709.0,961420.0,1155.0,319592.0,0.0,193.0,207.0
2018-10-29,0.0,112906.0,0.0,0.0,0.0,0.0,0.0,653366.0,1121623.0,5624.0,368947.0,0.0,598.0,1178.0
2018-10-30,0.0,231112.0,0.0,0.0,0.0,0.0,0.0,661886.0,1350723.0,27860.0,632270.0,1.0,7455.0,1863.0
2018-10-31,0.0,125839.0,0.0,0.0,0.0,0.0,0.0,675827.0,1449620.0,8313.0,417930.0,0.0,1723.0,744.0
2018-11-01,0.0,93643.0,20569.0,760.0,7823.0,116994.0,0.0,615841.0,1305804.0,4282.0,340451.0,0.0,568.0,719.0
2018-11-02,-1.0,125590.0,128.0,2141.0,54559.0,1252.0,-1.0,637661.0,1270459.0,9987.0,343482.0,-1.0,2511.0,1522.0
2018-11-03,0.0,67733.0,17753.0,2032.0,61183.0,394316.0,0.0,620027.0,1318539.0,1605.0,216991.0,0.0,63.0,413.0
2018-11-04,0.0,71952.0,106.0,2097.0,37301.0,9112.0,0.0,587940.0,1251526.0,2048.0,224810.0,0.0,247.0,441.0
2018-11-05,0.0,101216.0,113.0,2369.0,42179.0,1300.0,0.0,603834.0,1336727.0,4203.0,251865.0,0.0,468.0,848.0
2018-11-06,0.0,93576.0,156.0,1951.0,35996.0,1163.0,0.0,590691.0,1286829.0,3773.0,250467.0,1.0,440.0,821.0
2018-11-07,0.0,63847.0,37.0,1756.0,39887.0,425.0,0.0,583806.0,1271735.0,1507.0,198946.0,0.0,156.0,316.0
2018-11-08,0.0,66717.0,16.0,2026.0,40801.0,324.0,0.0,650799.0,1307029.0,2233.0,217149.0,-1.0,158.0,444.0
2018-11-09,0.0,81271.0,94.0,2068.0,46457.0,881.0,0.0,637993.0,1336867.0,3683.0,215757.0,0.0,259.0,785.0
2018-11-10,0.0,66933.0,19995.0,2081.0,123622.0,446402.0,0.0,674213.0,1397765.0,2264.0,237325.0,0.0,242.0,417.0
2018-11-11,0.0,64408.0,433.0,2195.0,33717.0,17504.0,-1.0,645844.0,1368932.0,1790.0,267505.0,0.0,154.0,283.0
2018-11-12,0.0,113656.0,166.0,2166.0,42616.0,1821.0,0.0,657577.0,1341474.0,5831.0,257341.0,0.0,625.0,1133.0
2018-11-13,0.0,118767.0,110.0,2025.0,45399.0,837.0,0.0,663439.0,1442056.0,6346.0,282828.0,0.0,886.0,806.0
2018-11-14,-119.0,69057.0,42738.0,1493.0,21972.0,201921.0,-118.0,363071.0,875579.0,1809.0,178415.0,-119.0,162.0,343.0
2018-11-15,0.0,274659.0,69962.0,3474.0,53998.0,310021.0,0.0,348071.0,790427.0,25507.0,451717.0,0.0,4881.0,4550.0
